#################################################################
#                       GlycoTorch-Vina Results                 #
#################################################################

WARNING: The search space volume > 27000 Angstrom^3 (See FAQ)
ligand.pdbqt
Output will be ligand_out.pdbqt
Detected 8 CPUs
Reading input ...
CHI energy penalties NOT applied to torsion in linkage b/w A00   1  and A00   2  | ??? (?1 - 4e) 4C1
CHI energy penalties applied to torsion in linkage b/w A00   2  and A00   3  | 4C1 (a1 - 4a) 1C4
CHI energy penalties applied to torsion in linkage b/w A00   3  and A00   4  | 1C4 (a1 - 4e) 4C1
done.
Setting up the scoring function ... done.
Analyzing the binding site ... done.
Using random seed: 134371040
Performing search ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************
done.
Refining results ... done.

mode |   affinity |   chi,   |  affinity | dist from best mode
     | (kcal/mol) |   ffe    |  -chi -ff  | rmsd l.b.| rmsd u.b.
-----+------------+---------+--------------------+------------
   1          0.0   0.0, 0.0      0.0      0.000      0.000
   2          0.0   0.0, 0.0      0.0     95.942    100.933
   3          0.0   0.0, 0.0      0.0     60.494     65.492
   4          0.0   0.0, 0.0      0.0      8.850     12.884
   5          0.0   0.0, 0.0      0.0     54.668     59.011
   6          0.0   0.0, 0.0      0.0     91.998     96.490
   7          0.0   0.0, 0.0      0.0     67.774     73.174
   8          0.0   0.0, 0.0      0.0     70.307     75.707
   9          0.0   0.0, 0.0      0.0     99.900    105.414
  10          0.0   0.0, 0.0      0.0     84.572     88.508
  11          0.0   0.0, 0.0      0.0     54.900     59.570
  12          0.0   0.0, 0.0      0.0     96.414    100.215
  13          0.0   0.0, 0.0      0.0     81.648     85.689
  14          0.0   0.0, 0.0      0.0      3.168      7.716
  15          0.0   0.0, 0.0      0.0     38.085     42.871
  16          0.0   0.0, 0.0      0.0    125.181    130.621
  17          0.0   0.0, 0.0      0.0    101.516    105.976
  18          0.0   0.0, 0.0      0.0     89.366     93.108
  19          0.0   0.0, 0.0      0.0     84.987     89.776
  20          0.0   0.0, 0.0      0.0      6.496     11.449
  21          0.0   0.0, 0.0      0.0    106.982    111.502
  22          0.0   0.0, 0.0      0.0    100.623    104.745
  23          0.0   0.0, 0.0      0.0     31.925     37.155
  24          0.0   0.0, 0.0      0.0     32.172     38.246
  25          0.0   0.0, 0.0      0.0     32.019     38.032
  26          0.0   0.0, 0.0      0.0     70.908     74.877
  27          0.0   0.0, 0.0      0.0     73.468     78.261
