mode |   affinity |   chi,   |  affinity | dist from best mode
     | (kcal/mol) |   ffe    |  -chi -ff  | rmsd l.b.| rmsd u.b.
-----+------------+---------+--------------------+------------
   1         -9.1   0.0, 0.0      -9.1      0.000      0.000
   2         -9.1   0.0, 0.0      -9.1      3.438     11.579
   3         -9.0   0.0, 0.0      -9.0      3.829     13.526
   4         -9.0   0.0, 0.0      -9.0      3.107     11.285
   5         -9.0   0.0, 0.0      -9.0      3.525     13.458
   6         -8.6   0.0, 0.0      -8.6      3.901      5.814
   7         -8.6   0.0, 0.0      -8.6      2.739     11.669
   8         -8.6   0.0, 0.0      -8.6      3.408     13.004
   9         -8.5   0.0, 0.0      -8.5      3.809      7.282
  10         -8.4   0.0, 0.0      -8.4      2.631      4.997
  11         -8.4   0.0, 0.0      -8.4      3.894      7.276
  12         -8.1   0.0, 0.0      -8.1      4.540      7.270
  13         -8.1   0.0, 0.0      -8.1      4.094      6.578
  14         -8.0   0.0, 0.0      -8.0      2.541     11.665
  15         -8.0   0.0, 0.0      -8.0      5.712     13.477
  16         -8.0   0.0, 0.0      -8.0      5.052     11.442
  17         -8.0   0.0, 0.0      -8.0      4.237      7.675
  18         -7.9   0.0, 0.0      -7.9      7.250     11.902
  19         -7.8   0.0, 0.0      -7.8      5.303      8.477
  20         -7.8   0.0, 0.0      -7.8      5.350      7.561
  21         -7.8   0.0, 0.0      -7.8      3.776      7.024
  22         -7.8   0.0, 0.0      -7.8      5.421     11.788
  23         -7.8   0.0, 0.0      -7.8      6.246     12.085
  24         -7.7   0.0, 0.0      -7.7      5.640      8.628
  25         -7.7   0.0, 0.0      -7.7      3.324     11.937
  26         -7.7   0.0, 0.0      -7.7      8.080     11.363
  27         -7.6   0.0, 0.0      -7.6      4.727     11.812
  28         -7.6   0.0, 0.0      -7.6      4.443      7.009
  29         -7.6   0.0, 0.0      -7.6      4.725      7.462
  30         -7.6   0.0, 0.0      -7.6      4.928      8.452
  31         -7.6   0.0, 0.0      -7.6      4.405     12.120
  32         -7.5   0.0, 0.0      -7.5      4.602      7.334
  33         -7.5   0.0, 0.0      -7.5      5.400     11.927
  34         -7.5   0.0, 0.0      -7.5      3.898     11.657
  35         -7.5   0.0, 0.0      -7.5      3.743     11.171
  36         -7.5   0.0, 0.0      -7.5      4.815      7.130
  37         -7.4   0.0, 0.0      -7.4      4.095      6.263
  38         -7.3   0.0, 0.0      -7.3      4.200      6.815
